# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.96
2                       7.90
4                      15.53
8                      31.63
16                     63.17
32                    125.27
64                    242.20
128                   475.60
256                   898.13
512                  1767.80
1024                 2809.77
2048                 5147.56
4096                 7334.89
8192                10162.39
16384               10630.39
32768               11827.75
65536               12077.59
131072              12208.29
262144              12275.33
524288              12311.16
1048576             12328.23
2097152             12336.64
4194304             12340.81
