# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.92
2                       5.85
4                      11.74
8                      23.24
16                     46.96
32                     93.58
64                    183.77
128                   362.33
256                   673.69
512                  1320.03
1024                 2500.43
2048                 5052.02
4096                 6740.85
8192                10315.15
16384               18219.53
32768               20667.79
65536               21845.20
131072              22491.14
262144              22880.27
524288              22923.96
1048576             22945.69
2097152             22966.39
4194304             23721.51
