# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       1.16
2                       1.16
4                       1.17
8                       1.17
16                      1.17
32                      1.28
64                      1.38
128                     1.41
256                     1.79
512                     2.05
1024                    2.43
2048                    2.43
4096                    3.05
8192                    3.86
16384                   5.25
32768                   7.14
65536                  10.10
131072                 15.90
262144                 26.63
524288                 47.81
1048576                91.32
2097152               175.88
4194304               345.86
