# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       1.51
2                       1.51
4                       1.51
8                       1.51
16                      1.51
32                      1.63
64                      1.76
128                     1.79
256                     2.28
512                     2.39
1024                    2.84
2048                    3.19
4096                    3.85
8192                    3.90
16384                   5.51
32768                   7.03
65536                   9.69
131072                 15.54
262144                 16.31
524288                 27.44
1048576                49.85
2097152                95.84
4194304               183.26
